seed,iter,L,K,batch_size,loss,wins_vs_random,draws_vs_random,losses_vs_random
0,1,2,4,175,0.942481517791748,,,
0,2,2,4,205,0.9729174971580505,,,
0,3,2,4,170,1.0596867799758911,,,
0,4,2,4,195,0.9960932731628418,,,
0,5,2,4,190,1.0785778760910034,,,
0,6,2,4,190,1.1708630323410034,,,
0,7,2,4,205,1.0500495433807373,,,
0,8,2,4,210,0.009381054900586605,,,
0,9,2,4,210,0.008252281695604324,,,
0,10,2,4,210,0.007126562763005495,4,1,15
0,11,2,4,185,0.9059600234031677,,,
0,12,2,4,195,0.9935365915298462,,,
0,13,2,4,190,1.0394293069839478,,,
0,14,2,4,210,1.1427457332611084,,,
0,15,2,4,195,0.9470329880714417,,,
0,16,2,4,210,0.0048068976029753685,,,
0,17,2,4,210,1.0665278434753418,,,
0,18,2,4,210,1.0319559574127197,,,
0,19,2,4,45,0.9952448606491089,,,
0,20,2,4,45,0.9866232872009277,10,0,10
0,21,2,4,35,0.9614402651786804,,,
0,22,2,4,35,0.9551621675491333,,,
0,23,2,4,35,0.9445791840553284,,,
0,24,2,4,35,0.9304167628288269,,,
0,25,2,4,210,0.004574381280690432,,,
0,26,2,4,185,1.019128441810608,,,
0,27,2,4,185,0.9502236843109131,,,
0,28,2,4,185,0.89231938123703,,,
0,29,2,4,55,0.895855724811554,,,
0,30,2,4,55,0.8857760429382324,9,0,11
0,31,2,4,55,0.8685494065284729,,,
0,32,2,4,55,0.8454686403274536,,,
0,33,2,4,185,0.7324402928352356,,,
0,34,2,4,195,0.8185763359069824,,,
0,35,2,4,170,1.3941724300384521,,,
0,36,2,4,170,1.3909008502960205,,,
0,37,2,4,210,0.042795371264219284,,,
0,38,2,4,210,0.03552945330739021,,,
0,39,2,4,195,0.7400604486465454,,,
0,40,2,4,195,0.730097234249115,4,0,16
0,41,2,4,195,0.6326324343681335,,,
0,42,2,4,195,0.6097680330276489,,,
0,43,2,4,175,0.6043767333030701,,,
0,44,2,4,185,0.5310782790184021,,,
0,45,2,4,195,0.5582202672958374,,,
0,46,2,4,195,0.6112024784088135,,,
0,47,2,4,35,0.7011831402778625,,,
0,48,2,4,180,1.3382890224456787,,,
0,49,2,4,130,1.3830915689468384,,,
0,50,2,4,140,1.6939927339553833,7,1,12
0,51,2,4,170,1.1929243803024292,,,
0,52,2,4,55,0.7561049461364746,,,
0,53,2,4,75,0.7508435845375061,,,
0,54,2,4,75,0.7412307262420654,,,
0,55,2,4,175,0.4343463182449341,,,
0,56,2,4,175,0.4126618802547455,,,
0,57,2,4,175,0.3773747980594635,,,
0,58,2,4,130,1.5935074090957642,,,
0,59,2,4,210,0.2614467442035675,,,
0,60,2,4,210,0.26277318596839905,4,4,12
0,61,2,4,210,0.2590992748737335,,,
0,62,2,4,210,0.2492303103208542,,,
0,63,2,4,210,0.2350294589996338,,,
0,64,2,4,165,0.6421089768409729,,,
0,65,2,4,165,0.6458129286766052,,,
0,66,2,4,45,0.6709657907485962,,,
0,67,2,4,165,0.6295843720436096,,,
0,68,2,4,45,0.6474674940109253,,,
0,69,2,4,165,0.5294421911239624,,,
0,70,2,4,140,1.6108684539794922,6,1,13
0,71,2,4,45,0.6021396517753601,,,
0,72,2,4,45,0.5868728756904602,,,
0,73,2,4,185,0.4064194858074188,,,
0,74,2,4,185,0.3888514041900635,,,
0,75,2,4,185,0.34933027625083923,,,
0,76,2,4,185,0.4334415793418884,,,
0,77,2,4,185,0.41696897149086,,,
0,78,2,4,185,0.3165813684463501,,,
0,79,2,4,185,0.28956085443496704,,,
0,80,2,4,45,0.4788413941860199,4,1,15
0,81,2,4,45,0.4660641849040985,,,
0,82,2,4,45,0.4502594769001007,,,
0,83,2,4,45,0.4318622052669525,,,
0,84,2,4,160,1.7043838500976562,,,
0,85,2,4,160,1.6702947616577148,,,
0,86,2,4,45,0.40657472610473633,,,
0,87,2,4,45,0.4057755470275879,,,
0,88,2,4,45,0.40132713317871094,,,
0,89,2,4,45,0.3933759927749634,,,
0,90,2,4,55,0.39431944489479065,0,3,17
0,91,2,4,55,0.3801640272140503,,,
0,92,2,4,55,0.3623693585395813,,,
0,93,2,4,55,0.34179195761680603,,,
0,94,2,4,55,0.3190038502216339,,,
0,95,2,4,55,0.2959977984428406,,,
0,96,2,4,55,0.2729488015174866,,,
0,97,2,4,200,2.7573609352111816,,,
0,98,2,4,200,2.7184524536132812,,,
0,99,2,4,200,2.6206250190734863,,,
0,100,2,4,175,0.3524136245250702,2,1,17
